jahr;foerderungswerber;foerderungsart;medium;mediumtyp;gesetzlichegrundlage;foerderungsbetrag;"1. Teilbetrag";"2. Teilbetrag";grundbetrag;zusatzfoerderungen;redaktionsstatut;fehlermanagementsystem;"qualitätssicherungssystem";frauenfoerderplaene;"inhaltsvielfaltfoerderung";regional;international;status;ablehnungsgrund
"2025";"RegionalMedien Niederösterreich GmbH";"Inhaltsvielfalts-Förderung";"Bezirksblätter Niederösterreich / MeinBezirk Niederösterreich";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"67981,64";"33990,80";"33990,80";;;;;;;"67981,64";"67981,64";;abgeschlossen;
"2025";"RegionalMedien Salzburg GmbH";"Inhaltsvielfalts-Förderung";"Bezirksblätter Salzburg / MeinBezirk Salzburg";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"35568,23";"17784,10";"17784,10";;;;;;;"35568,23";"35568,23";;abgeschlossen;
"2025";"RegionalMedien Inntal GmbH";"Inhaltsvielfalts-Förderung";"Bezirksblätter Tirol (Schwaz, Kufstein, Kitzbühel) / MeinBezirk Tirol";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"14950,57";"7475,30";"7475,30";;;;;;;"14950,57";"14950,57";;abgeschlossen;
"2025";"RegionalMedien Tirol GmbH";"Inhaltsvielfalts-Förderung";"Bezirksblätter Tirol / MeinBezirk Tirol";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"49884,03";"24942,00";"24942,00";;;;;;;"49884,03";"49884,03";;abgeschlossen;
"2025";"RegionalMedien Oberösterreich GmbH";"Inhaltsvielfalts-Förderung";"BezirksRundSchau Oberösterreich";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"53991,46";"26995,75";"26995,75";;;;;;;"53991,46";"53991,46";;abgeschlossen;
"2025";"bz Wiener Bezirkszeitung GmbH";"Inhaltsvielfalts-Förderung";"BezirksZeitung Wien / MeinBezirk Wien";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"48075,83";"24037,90";"24037,90";;;;;;;"48075,83";"48075,83";;abgeschlossen;
"2025";"BVZ Burgenländische Volkszeitung GmbH";"Inhaltsvielfalts-Förderung";BVZ;Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"12179,38";"6089,70";"6089,70";;;;;;;"12179,38";"12179,38";;abgeschlossen;
"2025";"Zielgruppen-Zeitungsverlags GmbH";"Inhaltsvielfalts-Förderung";ChefInfo;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"22391,22";"11195,60";"11195,60";;;;;;;"22391,22";"22391,22";;abgeschlossen;
"2025";"Media 21 GmbH";"Inhaltsvielfalts-Förderung";"der Grazer";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"11611,29";"5805,65";"5805,65";;;;;;;"11611,29";"11611,29";;abgeschlossen;
"2025";"Wiener Dom-Verlag Gesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";"Der SONNTAG";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"3145,30";"1572,65";"1572,66";;;;;;;"3145,30";"3145,30";;abgeschlossen;
"2025";"STANDARD Verlagsgesellschaft m.b.H";"Inhaltsvielfalts-Förderung";"DER STANDARD";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"69993,35";"34996,65";"34996,65";;;;;;;"69993,35";;"69993,35";abgeschlossen;
"2025";"Falter - Zeitschriften Gesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";"FALTER Die Wochenzeitung aus Wien.";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"28363,14";"14181,55";"14181,55";;;;;;;"28363,14";"28363,14";;abgeschlossen;
"2025";"AHVV Verlags GmbH";"Inhaltsvielfalts-Förderung";HEUTE;Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"138845,75";"69422,85";"69422,85";;;;;;;"138845,75";"92563,83";"46281,92";abgeschlossen;
"2025";"Kroatischer Presseverein (Hrvatsko stamparsko drustvo)";"Inhaltsvielfalts-Förderung";"Hrvatske novine";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"5279,12";"2639,55";"2639,56";;;;;;;"5279,12";"5279,12";;abgeschlossen;
"2025";"Kirchenblatt für die Diözese St. Pölten";"Inhaltsvielfalts-Förderung";"Kirche bunt - St. Pöltner Kirchenzeitung";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"2771,19";"1385,60";"1385,61";;;;;;;"2771,19";"2771,19";;abgeschlossen;
"2025";"Diözese Linz";"Inhaltsvielfalts-Förderung";"Kirchenzeitung Diözese Linz";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"8355,14";"4177,55";"4177,55";;;;;;;"8355,14";"8355,14";;abgeschlossen;
"2025";"Kitzbüheler Anzeiger Gesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";"Kitzbüheler Anzeiger";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"7856,33";"3928,15";"3928,15";;;;;;;"7856,33";"7856,33";;abgeschlossen;
"2025";"Kleine Zeitung GmbH";"Inhaltsvielfalts-Förderung";"Kleine Zeitung";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"164158,41";"82079,20";"82079,20";;;;;;;"164158,41";"164158,41";;abgeschlossen;
"2025";"KRONE - Verlag Gesellschaft m.b.H. & Co. KG";"Inhaltsvielfalts-Förderung";"Kronen Zeitung";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"364698,22";"182349,10";"182349,10";;;;;;;"364698,22";"243132,15";"121566,07";abgeschlossen;
"2025";"KURIER Zeitungsverlag und Druckerei Gesellschaft m.b.H.";"Inhaltsvielfalts-Förderung";KURIER;Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"239869,94";"119934,95";"119934,95";;;;;;;"239869,94";"159913,29";"79956,65";abgeschlossen;
"2025";"Kärntner Monat Zeitungs-GmbH";"Inhaltsvielfalts-Förderung";"Kärntner Monat";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"4738,74";"2369,35";"2369,36";;;;;;;"4738,74";"4738,74";;abgeschlossen;
"2025";"""Leibnitz Aktuell"" Zeitungsverlagsgesellschaft mit beschränkter Haftung";"Inhaltsvielfalts-Förderung";"Leibnitz Aktuell";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";",00";",00";",00";;;;;;;",00";",00";;"Förderung abgelehnt";"Ablehnung gemäß § 4 Abs. 6 Z 1 iVm § 2 Z 2 QJF-G"
